Score,Summary,Text,Sentiment,Cleaned_Text
4,A promising coffee!,"I am a lover of coffee and will try almost any coffee product once. I own a coffee pod maker at work, and I have been using Senseo's medium roast and espresso pods for a few months, but after trying Marley Coffee, I do not think I can go back to Senseo. I am not demeaning Senseo's quality, but I am certainly highlighting my preference for Marley Coffee. I will admit that when it comes to pod coffee, I do not expect much, and that's probably why I have stuck to only one brand; Marley Coffee, however, went beyond my expectations. I like my coffee strong; therefore, I recommend one pours no more than 6 oz. per pod for a strong flavor (this is coming from a person who drinks `straight' coffee; I never add other ingredients or sweeteners)). On a side note, there was no particular exotic/fruity taste to this coffee, but the overall quality met my expectations and passed the ""will continue to buy"" test. Other perks: it's organic, natural, and tasty, which, in my book, is worth the price.",positive,lover coffe tri almost coffe product coffe pod maker work use senseo medium roast espresso pod month tri marley coffe think back senseo demean senseo qualiti certainli highlight prefer marley coffe admit come pod coffe expect much that probabl stuck one brand marley coffe howev went beyond expect like coffe strong therefor recommend one pour per pod strong flavor come person drink straight coffe never add ingredi sweeten side note particular exoticfru tast coffe overal qualiti met expect pass continu buy test perk organ natur tasti book worth price
5,Delicious Honeycomb covered in Milk Chocolate!,In the UK this is one of the most popular chocolate bars.  It is a light honeycomb bar covered in Cadburys Milk Chocolate. If you like toffee and chocolate you will love these!,positive,one popular chocol bar light honeycomb bar cover cadburi milk chocol like toffe chocol love
5,great gift,My daughter bought a Keurig coffee maker for my husband for Christmas. His favorite coffee is Starbucks House Blend so when I found that I could get the K cups I decided to get several for him for Christmas. They arrived very quickly and were just as described. He has been enjoying his coffee so it must be good.,positive,daughter bought keurig coffe maker husband christma favorit coffe starbuck hous blend found could get cup decid get sever christma arriv quickli describ enjoy coffe must good
4,Cheaper than Starbucks,Comparable flavor to Starbucks and cost much less. I don't know why anyone would buy a 12 pack. All flavors are good as well.,positive,compar flavor starbuck cost much less dont know anyon would buy pack flavor good well
1,AWFUL. Do NOT work and are a Choking Hazzard,"Simply awful.  This product should be taken off the market immediately.  They did absolutely nothing for my 2-yr old dog's teeth.  I gave him about 4 per week until he almost choked to death on about the 10th one.  Awful, dangerous product, simple as that.",negative,simpli aw product taken market immedi absolut noth old dog teeth gave per week almost choke death one aw danger product simpl
5,If there were any more stars to give that 5 stars...,"I would give it.  This hot sauce is the best hot sauce that has ever been made with human hands.  To compare this to Tabasco is an utter mockery, but that is the most common ""hot sauce"" that most Americans have experienced, so that is the one that I will compare it to.  Anyone that would try to genuinely compare the two should have a CAT scan done.  A 7 out of 10 as far as hotness, Tapatio can go on anything that you need to make spicy and tasty.  Try putting a couple of squirts of this Mexican nectar in a bag of Doritos and you WILL NOT be able to put them down.  Buy the 32 oz. size, you will not regret it!",positive,would give hot sauc best hot sauc ever made human hand compar tabasco utter mockeri common hot sauc american experienc one compar anyon would tri genuin compar two cat scan done far hot tapatio anyth need make spici tasti tri put coupl squirt mexican nectar bag dorito abl put buy size regret
5,"Wonderful product, yummy","Luckily this is available locally so I got to try it without ordering a whole case. I find it absolutely delicious. So far it got used to make a black rice with dried cranberry dish, very simple. Tomorrow a pumpkin curry soup, then I think a chicken curry the next day. I'm looking into making my own coconut milk so I don't have to worry about using a whole can before it goes bad, but meanwhile I am delighted with this brand in both taste and consistency.<br /><br />AND let me not forget to praise the manufacturer for resisting the temptation to add those poisons people think are preservatives (particularly sodium metabisulfite). I'd rather there were no guar gum, frankly, but was unable to find any without that at local supermarkets.",positive,luckili avail local got tri without order whole case find absolut delici far got use make black rice dri cranberri dish simpl tomorrow pumpkin curri soup think chicken curri next day look make coconut milk dont worri use whole goe bad meanwhil delight brand tast consistencyand let forget prais manufactur resist temptat add poison peopl think preserv particularli sodium metabisulfit rather guar gum frankli unabl find without local supermarket
5,McCann's Instant Oatmeal - Maple & Brown Sugar,"This oatmeal is great.  I eat it almost every morning.  The brands in the stores I was buying had changed the texture and I did not like them anymore.  I coould not find an oatmeal I liked so I stopped eating oatmeal..... until I found out about McCann's. The cost is the same as in the store and with free shipping from Amazon, I don't lose out at all.",positive,oatmeal great eat almost everi morn brand store buy chang textur like anymor coould find oatmeal like stop eat oatmeal found mccann cost store free ship amazon dont lose
5,Best fondant!,Satin Ice is the best tasting fondant I can find on the market.  It's a little more sticky than other types of fondant but you can keep it from sticking to your hands by rubbing some crisco on your hands before working with the fondant.,positive,satin ice best tast fondant find market littl sticki type fondant keep stick hand rub crisco hand work fondant
5,Coconut,I bought this for my 73 year old dad he had seen it on a commercial and thought it looked like good stuff..he is very pleased with it,positive,bought year old dad seen commerci thought look like good stuffh pleas
4,Bought it as a present,"I never saw this gift basket myself nor tried any goodies from it. I bought it to say ""Thank you"" to my business associate.<br />The recipient liked it, so I think I will purchase it again in the future. It is priced fairly and it is a nice way to express your gratitude.",positive,never saw gift basket tri goodi bought say thank busi associateth recipi like think purchas futur price fairli nice way express gratitud
5,Excellent peeler and shredder,Unbeatable little tool for making shredded green papaya salad.  I use it to shred many different not-so-ripe fruits and veggies besides papaya. Better than the typical cheese grater for shredding because it doesn't bruise the fruit/veggie. I highly recommend this tool.,positive,unbeat littl tool make shred green papaya salad use shred mani differ notsorip fruit veggi besid papaya better typic chees grater shred doesnt bruis fruitveggi highli recommend tool
1,Beware!  Flavored Coffee...,"It sure would be nice if they stated ANYWHERE in the description of this coffee that it is flavored.  I love the Bed and Breakfast coffee, it's just plain coffee, so I was surprised when I received the Jamaica coffee and it was flavored.  YUCK!",negative,sure would nice state anywher descript coffe flavor love bed breakfast coffe plain coffe surpris receiv jamaica coffe flavor yuck
5,Fabulous Dressing to liven up your salad!,I had a salad in a restaurant for lunch and went crazy over the  roasted raspberry chipotle vinaigrette dressing. I decided  to recreate the salad myself at home. The salad dressing I found in my search on the internet was the Fischer & Wieser  Roasted Raspberry chipotle vinaigrette dressing. It is absolutely fabulous! I have made the salad  many times and for friends and have had to order extra bottles since I got them hooked on it too. This salad dressing will not disappoint and  deserves a five star review!,positive,salad restaur lunch went crazi roast raspberri chipotl vinaigrett dress decid recreat salad home salad dress found search internet fischer wieser roast raspberri chipotl vinaigrett dress absolut fabul made salad mani time friend order extra bottl sinc got hook salad dress disappoint deserv five star review
5,Great deal!,I was so happy to see this deal. I recently have been using alot of pumpkin. I was so excited to see an organic product that I could actually afford! I look forward to using it in many recipies.,positive,happi see deal recent use alot pumpkin excit see organ product could actual afford look forward use mani recipi
5,Taste Good,"Very hot, but smooth, great consistancy, for use with most Korean cusine. Just a dab will do, you don't want too much. This items is tasty, but extremely hot. Great side with most Korean dishes",positive,hot smooth great consist use korean cusin dab dont want much item tasti extrem hot great side korean dish
4,Re-Rating,"Okay, I jumped the gun, because they were sending me the review information, before I received my chips, so I thought I would be honest, and indicate that I have not received them, and I wasn't happy about not receiving them. However overall, the service is not bad, and my chips are on the way.Sorry guys, they really are not bad people, I am just an impatient buyer... there, is that better?",positive,okay jump gun send review inform receiv chip thought would honest indic receiv wasnt happi receiv howev overal servic bad chip waysorri guy realli bad peopl impati buyer better
1,Not a good value,"Disappointingly, this is IMITATION Almond Extract and a terrible value.  The $0.65/oz price is also quite deceiving and misleading.  That fact that this is an imitation product was not made clear in the description.  I bought this only because I needed a filler item to reach my free shipping, but will not make that mistake again.<br /><br />Comparatively, [...] currently is selling top quality 100% Pure Almond Extract for only $6.69/4 oz.  Lesson learned... the hard way.",negative,disappointingli imit almond extract terribl valu price also quit deceiv mislead fact imit product made clear descript bought need filler item reach free ship make mistak againcompar current sell top qualiti pure almond extract lesson learn hard way
5,Best coffee EVER!,"I've tried several brands and flavors of ground coffee from Amazon, and this is by far the.best.coffee.I've.had. I decided to write a review because last weekend my husband made me a latte, and it was yummy. I asked for a second one, and what he gave me was not what I had the first time. I asked him what was different, and he told me he used a different brand and flavor. He was really surprised that I could tell. The one that I LOVED was the Lavazza Crema e Gusto. Wow. What a difference. It's smooth and full bodied - okay, I'm full of crap. I have no idea what ""full bodied"" is other than a fat chick. But I can tell you this -- this coffee is tasty and you will not regret buying it.<br /><br />I bought it in January because there was a deal going on - $12 for 4 bricks. But here I am willing to pay $15 for 4 bricks (S&S price) less than 2 months later. I wish I had stocked up when it was cheaper, but who knew the coffee was going to be THAT GOOD! It's so worth even $18 for 4 bricks!",positive,ive tri sever brand flavor ground coffe amazon far thebestcoffeeivehad decid write review last weekend husband made latt yummi ask second one gave first time ask differ told use differ brand flavor realli surpris could tell one love lavazza crema gusto wow differ smooth full bodi okay full crap idea full bodi fat chick tell coffe tasti regret buy iti bought januari deal go brick will pay brick price less month later wish stock cheaper knew coffe go good worth even brick
4,Tasty treats,"My dog is relatively picky when it comes to treats, but she loves these. They don't do much to help her doggy breath, but maybe over time they will help.",positive,dog rel picki come treat love dont much help doggi breath mayb time help
1,Not a good toy for chewers,"I bought this item for my dog to play with. She was smart and can get out all the food in it. Initially I like it since it was entertaining for my dog. However, my dog quickly chewed open the rope - only the 3 time I used it.<br /><br />I think there is a problem with the design - it will be great if the rope can be replaced with some better material so it does not get chewed immediately.<br /><br />I asked some dog friends and they pointed out the same problemm. I would not recommend this item for dogs who chew. Well, most dogs chew, so...There are many other interactive toys that you can try.",negative,bought item dog play smart get food initi like sinc entertain dog howev dog quickli chew open rope time use iti think problem design great rope replac better materi get chew immediatelyi ask dog friend point problemm would recommend item dog chew well dog chew sother mani interact toy tri
5,Lovely Tea,"This tea has a nice mellow taste.  It is not at all dusty and doesn't leave a bitter taste in your mouth, as is common with a lot of teas.  Will definately buy more in the future. The box is very nice and I would feel comfortable giving this as a gift.",positive,tea nice mellow tast dusti doesnt leav bitter tast mouth common lot tea defin buy futur box nice would feel comfort give gift
5,Mae Ploy or BUST,"This is THE best red curry, don't waste your time on the cheap imitators.  Mix with cocunut milk and real palm sugar + chicken and veggies and you will amaze your friend and families.  This is great red curry paste!",positive,best red curri dont wast time cheap imit mix cocunut milk real palm sugar chicken veggi amaz friend famili great red curri past
4,"Really good, for decaf","I'd received a sample of Stash's English Breakfast Decaf with a previous order from Stash's website, and I knew it was good (for decaf tea, which is always missing something -- I think it's the caffeine.)  The price on this multipack was so good, that I could give a couple boxes away (which I did, cause I can't go through that much decaf tea in a year) and still save money over buying it in the supermarket.",positive,receiv sampl stash english breakfast decaf previou order stash websit knew good decaf tea alway miss someth think caffein price multipack good could give coupl box away caus cant much decaf tea year still save money buy supermarket
5,A guest favorite,"I can't think of anything bad to say about this coffee. Every guest we have had enjoys it. I'm not much of a hazelnut person, but it tastes pretty good to me.",positive,cant think anyth bad say coffe everi guest enjoy much hazelnut person tast pretti good
3,"Son likes them, I don't...","I ordered these when I found out the Morningstar Farms veggie dogs are no longer available.  After reading about 100 reviews, I decided to try this variety.  We have been vegetarian for 12 years, so I am used to the faux meats.  Some I like, some I don't.  I LOVED Morningstar Veggie dogs, they were my absolute favorite.  Most veggie dogs in the refrigerated section of the grocery store have a ton of onion in them!  These Veja-dogs are OK on taste, but I do not like the texture.  It is A LOT like that of a hard boiled egg white.  When I first got one out of the can I did not want to even try one.  It was squishy and had tiny dark brown spots.  The syrupy stuff they are stored in really grossed me out too.  I have eaten about 5 now and am still not crazy about them.  My son however LOVES them.  He says they are his favorite.  I will try another Worthington veggie dog (Super Links or linkettes) before giving up on the ""canned"" dogs all together.  I hate onions, but I prefer the texture of the tofu dogs found in the grocery store.",neutral,order found morningstar farm veggi dog longer avail read review decid tri varieti vegetarian year use faux meat like dont love morningstar veggi dog absolut favorit veggi dog refriger section groceri store ton onion vejadog tast like textur lot like hard boil egg white first got one want even tri one squishi tini dark brown spot syrupi stuff store realli gross eaten still crazi son howev love say favorit tri anoth worthington veggi dog super link linkett give can dog togeth hate onion prefer textur tofu dog found groceri store
3,"Good concept, poor design","Edit: I've given this three stars vs my previous 1 star when I was told the can was not meant to brew tea in. I still would  prefer a ""total travel solution"", then it would have been 5 stars.<br /><br />Original Post: The can to brew the tea leaks. I sent the first one back thinking maybe it was defective. The second one leaked also. And, the can gets super hot, to the point of not being able to pick it up.  I also posted this review on the Teavana website, it has not been posted....just an FYI about neg reviews sent to them.",neutral,edit ive given three star previou star told meant brew tea still would prefer total travel solut would starsorigin post brew tea leak sent first one back think mayb defect second one leak also get super hot point abl pick also post review teavana websit postedjust fyi neg review sent
5,Oh my gosh delicious!,"Lucy's Cinnamon Thins are crispy, yummy and entirely too tempting! They taste like snickerdoodles,and I can't quit eating them!",positive,luci cinnamon thin crispi yummi entir tempt tast like snickerdoodlesand cant quit eat
5,Very Impressed,"After a lot of research, i decided to switch my 3-yr old Doberman from Iams to Canidae and have been very impressed with the product. Samson LOVES this stuff too, with the Iams I had to entice him to eat by mixing it with canned food/tablefood, but with the Canidae, he eagerly wolfs it down by itself. And why not? The first 4 ingredients are all meats- human-grade at that! Besides having less ""filler"", Canidae uses no corn products, which is good for dogs with allergies (corn is a common allergen in dogs). Some may balk at the price, but you are going to use less food per day then with the junk brands due to the high quality of indredients in this stuff. Besides, Canidae is considerably cheaper then most of the other top-shelf brands like Eagle Pack or Flint River. I'm just happy to be able to feed my dog a ""super-premium"" grade food knowing how much healthier this is for him, for just a few bucks more per bag then a mid-grade food like Iams or Pro Plan. When you look at it like that, I believe it's one of the best values in pet nutrition on the market today.",positive,lot research decid switch old doberman iam canida impress product samson love stuff iam entic eat mix can foodtablefood canida eagerli wolf first ingredi meat humangrad besid less filler canida use corn product good dog allergi corn common allergen dog may balk price go use less food per day junk brand due high qualiti indredi stuff besid canida consider cheaper topshelf brand like eagl pack flint river happi abl feed dog superpremium grade food know much healthier buck per bag midgrad food like iam pro plan look like believ one best valu pet nutrit market today
5,Fabulous!!!,"I bought this apple butter as a change of pace from my normal peanut butter or laughing cow light cheese spread.  It is absolutely delicious and very healthy.  It's more like a jelly but I am willing to compromise given the nutritional value.  Real apple butter is higher in everything ... calories, fat, sugars, etc.  My next purchase will be a case of it!",positive,bought appl butter chang pace normal peanut butter laugh cow light chees spread absolut delici healthi like jelli will compromis given nutrit valu real appl butter higher everyth calori fat sugar etc next purchas case
5,My cat loves it,"My cat loves this stuff! The nutrition is fair and it has alot of juice in the packet. It is a mixture of chunks of meat along with some shreads. It looks like real shreds of chicken. The sale price here at Amazon was awesome - less than half the price at my local stores for a whole case.<br /><br />I never have any trouble getting all of the food out of the pouch - it all slides right out. This particular flavor though for whatever reason does have a bit more product in the pouch and to make things easier when opening, I usually just cut the top off (to avoid any messes while tearing open) or, I tear from one side half way and then from the other side the rest of the way and the entire top comes off then. If there are any dribbles then, it is just a tiny bit on the side of the pouch and not on my hands at all and I do not get splattered with it. For some reason, the top usually never tears cleanly the whole way across if you try to tear it from one side only and it can be a little messy if you're in a hurry. It is not like it makes a huge mess though anyway, just a few drips here and there maybe. Cutting the top off instead of tearing it solves that though.<br /><br />The other Whiskas pouches that I like to use are the Choice Cuts varieties. They have nice big chunks in them instead of a bunch of mush or all shreds. My cat likes the chunkier ones better.",positive,cat love stuff nutrit fair alot juic packet mixtur chunk meat along shread look like real shred chicken sale price amazon awesom less half price local store whole casei never troubl get food pouch slide right particular flavor though whatev reason bit product pouch make thing easier open usual cut top avoid mess tear open tear one side half way side rest way entir top come dribbl tini bit side pouch hand get splatter reason top usual never tear cleanli whole way across tri tear one side littl messi your hurri like make huge mess though anyway drip mayb cut top instead tear solv thoughth whiska pouch like use choic cut varieti nice big chunk instead bunch mush shred cat like chunkier one better
5,Love this stuff!,"I'm not generally a fan of hot sauces.  However, when I initially came across this in a diner I gave it a sniff, and it smelled promising.  It was quite good with my steak that morning.  Now that I have it at home, I will admit it's a touch salty, but the flavor is quite savory in comparison to your run-of-the-mill hot sauces.",positive,gener fan hot sauc howev initi came across diner gave sniff smell promis quit good steak morn home admit touch salti flavor quit savori comparison runofthemil hot sauc
5,Great Tasting Low Salt Mix,"I recently bought some of this at a local market.  I decided to try it because for quite some time now I have purchased Morton's Light Salt to cut down on the some of the sodium I take in.  This Diamond Crystal blend is not only cheaper than the Morton's for a generous amount more, but it also taste better in my opinion.  Like the Morton's, it contains a full one third less sodium.  But where the Morton's uses the popular substitute Potassium Chloride that has a slight metallic taste to it, the main substitute ingredient in this Diamond Chrystal blend is Silicon Dioxide, which to me has a much more natural salt taste.  I prefer it over the potassium chloride, and as already mentioned, you get more for your money with this blend making it a sure deal. It took me no time at all to get used to it, and I use it in my cooking as well as in the shaker as well.  If you have trouble finding it locally, I suggest you pick it up by the case here on Amazon and you will be set for a year or more.  A real good salt substitute, (that does contain real salt as well) that I recommend...",positive,recent bought local market decid tri quit time purchas morton light salt cut sodium take diamond crystal blend cheaper morton gener amount also tast better opinion like morton contain full one third less sodium morton use popular substitut potassium chlorid slight metal tast main substitut ingredi diamond chrystal blend silicon dioxid much natur salt tast prefer potassium chlorid alreadi mention get money blend make sure deal took time get use use cook well shaker well troubl find local suggest pick case amazon set year real good salt substitut contain real salt well recommend
5,Liv-a-littles chicken treats,"If you're looking for a yummy treat for your cat, try these.  After trying both the chicken and salmon flavors, my cats greatly preferred the chicken.  In fact, they love them.  These treats are 100% white-meat chicken, so you'll be giving your cat a truly healthy treat instead of one that's loaded with carbs and fat.  I will definitely buy these again.",positive,your look yummi treat cat tri tri chicken salmon flavor cat greatli prefer chicken fact love treat whitemeat chicken youll give cat truli healthi treat instead one that load carb fat definit buy
5,Favorite tea,This is my favorite tea.  It has that lovely flavor and aroma of Ceylon tea.  I drink way too many cups of it each day!  I only wish they had a decaf version.,positive,favorit tea love flavor aroma ceylon tea drink way mani cup day wish decaf version
5,Frog Gummies,I LOVE MY FROG GUMMY CANDY...I even shared it with the grand kids (even though I DON'T normally share with anyone).,positive,love frog gummi candyi even share grand kid even though dont normal share anyon
5,Good packaging - no spills!,"I like this product enough that I used to buy at least a bottle a week locally - mostly to flavor my mineral water and ice tea, while adding some Vitamin C. I was scared to mail-order a 12-pack of glass bottles filled with liquid. I envisioned disaster. Not to worry. They were set in a special foam spacer insert and well-protected. They all arrived intact. The package was still easy to open. The price is really good. I would not hesitate to order again. Good job!",positive,like product enough use buy least bottl week local mostli flavor miner water ice tea ad vitamin scare mailord pack glass bottl fill liquid envis disast worri set special foam spacer insert wellprotect arriv intact packag still easi open price realli good would hesit order good job
3,Pleasant flavor- uneven quality,"I've noticed that with a lot of products on the market today- cereals and snack items like these soynuts, the quality of the food is increasingly subpar, i.e. there are almost always a few grains or other items/detritutus in the package that should not be there. A few of these beans, for example, look like they were dried w/ tiny black spots from dirt or perhaps insects? Some might attribute this to the fact that these beans are a product of China and while I do not think that its origins are the primary source of the problem, it might explain in part the low quality of the edamame. These green babies are tasty enough although the punch of the wasabi is low. Texture is reminiscent of freeze dried food but more solid. For me, the sodium level is just about right but I happen to believe that most products are too salty and that high sodium levels may have as much to do with American's expanding waist lines as HFCS. But back to the product at hand- would I order these again? Maybe, but I am more careful about each bean I pop into my mouth now. As a highly allergy sensitive individual, I can't afford to down bad beans no matter how tiny the black dots are.",neutral,ive notic lot product market today cereal snack item like soynut qualiti food increasingli subpar almost alway grain itemsdetritutu packag bean exampl look like dri tini black spot dirt perhap insect might attribut fact bean product china think origin primari sourc problem might explain part low qualiti edamam green babi tasti enough although punch wasabi low textur reminisc freez dri food solid sodium level right happen believ product salti high sodium level may much american expand waist line hfc back product hand would order mayb care bean pop mouth highli allergi sensit individu cant afford bad bean matter tini black dot
1,Disappointing,I planted mine in a separate area next to my yellow and mixed color sunflowers and they never sprouted. (shrugs)  I wonder if I got an old batch of seeds.,negative,plant mine separ area next yellow mix color sunflow never sprout shrug wonder got old batch seed
5,Coffee Pod Shipment,We recommend buying the coffee pods through Amazon. They cost less than at the manufacturer's site.,positive,recommend buy coffe pod amazon cost less manufactur site
2,Artificial flavor...?!,"With a legendary name like Gevalia, I was disappointed to find that the coffee contains artificial flavors.  The outside packaging looks gourmet and epicurean, with gold lettering.  Unfortunately, artificial flavoring also plainly occupies the front face.<br /><br />The aroma from the coffee is quite pleasant, however, after brewing, the coffee itself is nothing to write home about.  In fact, it tasted rather bitter.<br /><br />I would not buy this item.",negative,legendari name like gevalia disappoint find coffe contain artifici flavor outsid packag look gourmet epicurean gold letter unfortun artifici flavor also plainli occupi front faceth aroma coffe quit pleasant howev brew coffe noth write home fact tast rather bitteri would buy item
5,Puppy Love!,My bishon/shitzu puppy loves these. They don't last as long as a rawhide more like a treat. The mini size are perfect for her!,positive,bishonshitzu puppi love dont last long rawhid like treat mini size perfect
5,Awesome Tea,"I drank this tea at least 4 days a week during the last 6 weeks of my pregnancy.  I wish I did it the entire last trimester and everyday!  I had a 6 hour natural labor and delivery and I only pushed for 15 minutes.  My contractions, even at their most intense, only felt like strong menstrual cramps.  I brewed my tea double strength and then drank it with lemonade.  Delicious and refreshing!  Even on it's own as a hot tea, it's pretty palatable.  My last trimester was in the summer though, so I always drank it iced.  I also used Evening Primrose Oil suppositories for the last 5 weeks. I really believe that these two factors are the main reason why my labor and delivery was so fast and EASY!",positive,drank tea least day week last week pregnanc wish entir last trimest everyday hour natur labor deliveri push minut contract even intens felt like strong menstrual cramp brew tea doubl strength drank lemonad delici refresh even hot tea pretti palat last trimest summer though alway drank ice also use even primros oil suppositori last week realli believ two factor main reason labor deliveri fast easi
